nike#n. 耐克（国际著名运动产品公司）；胜利女神；[军][航] 奈克导弹（地对空导弹的一种）


intervention#n. 介入；调停；妨碍


fed#v. 喂养（feed过去式）
abbr. 联邦储备局（the Federal Reserve System）


plugin#n. 插件；相关插件
n. (Plugin)人名；(俄)普卢金


attraction#n. 吸引，吸引力；引力；吸引人的事物


diving#n. 跳水，潜水
adj. 跳水的，潜水的
v. 跳水（dive的现在分词）；潜水


invite#vt. 邀请，招待；招致
n. 邀请


modification#n. 修改，修正；改变


alice#n. 爱丽丝（女子名）


latinas#n. 拉蒂纳（意大利地名）；拉蒂娜（女子名）


suppose#vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想
conj. 假使…结果会怎样


customized#n. 自定义；客制化；自定义级别
v. 定制；按特别订货生产（customize的过去式和过去分词）
adj. 定制的；用户化的


reed#n. [作物] 芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰
n. (Reed)人名；(西、意、瑞典)雷德；(英)里德


involve#vt. 包含；牵涉；使陷于；潜心于


moderate#adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻


terror#n. 恐怖；恐怖行动；恐怖时期；可怕的人
n. (Terror)人名；(南非)特罗尔


younger#n. 年纪较小者；幼辈
adj. 较年轻的
n. (Younger)人名；(英)扬格


thirty#n. 三十年代
num. 三十
adj. 三十个的


mice#n. 老鼠（mouse的复数）
n. (Mice)人名；(塞)米采


opposite#adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面


understood#adj. 被充分理解的；心照不宣的
v. 明白；懂得（understand的过去分词）；熟悉


rapidly#adv. 迅速地；很快地；立即


dealtime#

ban#vt. 禁止，取缔
n. 禁令，禁忌
n. (Ban)人名；(日)蕃(名)；(缅、老、柬)班；(东南亚国家华语)万；(法)邦；(中)饼(广东话·威妥玛)；(德、塞、罗、阿拉伯)巴恩；(英)班恩


temp#n. 临时雇员
vt. 做临时工作
abbr. 温度（temperature）


intro#n. 介绍；简介


mercedes#n. 梅赛德斯（公司名）；梅塞德斯（人名）


zus#n. 巴比伦神话中的风雨神


assurance#n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻


clerk#n. 职员，办事员；店员；书记；记账员；牧师，教士
vi. 当销售员，当店员；当职员
n. （英）克拉克（人名）


happening#n. 事件；意外发生的事
v. 发生；碰巧（happen的ing形式）


vast#adj. 广阔的；巨大的；大量的；巨额的
n. 浩瀚；广阔无垠的空间
n. (Vast)人名；(法)瓦斯特


mills#n. 米尔斯（人名）


outline#n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓


amendments#n. 修正（amendment的复数）；修正案


tramadol#n. 反胺苯环醇，曲马朵


holland#n. 荷兰


receives#n. 受光面
v. 接受，接收（receive的第三人称单数）


jeans#n. 牛仔裤；工装裤
n. (Jeans)人名；(英、意)琼斯


metropolitan#adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民


