syracuse#n. 锡拉库扎（意大利西西里岛东部一港市）


internship#n. 实习生；（美）实习期；实习医师职位


lone#adj. 单身的；独自的；寂寞的；人迹稀少的
n. (Lone)人名；(西、肯)洛内；(丹)隆娜；(缅)伦


refresh#vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养


aluminium#adj. 铝的
n. 铝


snowboard#n. 滑雪板


beastality#

webcast#n. 网络广播；网络直播；网路广播


michel#n. 米歇尔（男子名）


evanescence#n. 逐渐消失；瞬息；幻灭


subtle#adj. 微妙的；精细的；敏感的；狡猾的；稀薄的


coordinated#vt. 调整；使调和（coordinate的过去分词）；调节；整理
adj. 协调的


notre#adj. （法）我们的


shipments#n. 发货；运载的货物（shipment的复数）


maldives#n. 马尔代夫（亚洲群岛国家名）


stripes#n. 条子布；条纹布（stripe复数形式）
v. 给…加条纹（stripe的三单形式）


firmware#n. 固件；韧件


antarctica#n. 南极洲


cope#vi. 处理；对付；竞争
n. 长袍
n. (Cope)人名；(英)科普；(西)科佩


shepherd#vt. 牧羊；带领；指导；看管
n. 牧羊人；牧师；指导者
n. (Shepherd)人名；(英)谢泼德


canberra#n. 堪培拉（澳大利亚的首都）


cradle#n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内


chancellor#n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
n. (Chancellor)人名；(英)钱塞勒


mambo#n. 曼波音乐；曼博舞
vi. 跳曼博舞
n. (Mambo)人名；(印尼)曼博


lime#n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的
n. (Lime)人名；(法)利姆


kirk#n. 教会；苏格兰教会
n. (Kirk)人名；(德、丹)基尔克；(英)柯克


flour#n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉
n. (Flour)人名；(法)弗卢尔


controversy#n. 争论；论战；辩论


legendary#adj. 传说的，传奇的


bool#n. （苏格兰）弯曲件；保龄球
vi. 玩地滚球戏；玩保龄球戏
n. (Bool)人名；(俄)博尔


sympathy#n. 同情；慰问；赞同


choir#n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱


avoiding#v. 避免（avoid的ing形式）；回避；撤销
n. 避免；回避
adj. 避免的；回避的


beautifully#adv. 漂亮地；美好地


blond#adj. 金发的
n. 白肤碧眼金发的人
n. (Blond)人名；(英、西)布朗德；(法)布隆；(德)布隆德


expects#vt. 期望；指望；认为；预料
vi. 期待；预期


cho#abbr. 首席人事官（Chief Human resources Officer）
n. (Cho)人名；(中)卓(普通话·威妥玛)；(越)给；(日)猪(姓)；(缅)丘


jumping#adj. 跳跃的
n. 障碍
vi. 跳（jump的ing形式）


fabrics#n. 纤维织物（fabric的复数）


antibodies#n. [免疫] 抗体（antibody的复数）


polymer#n. [高分子] 聚合物
n. (Polymer)人名；(英)波利默


hygiene#n. 卫生；卫生学；保健法


wit#n. 智慧；才智；智力
